City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Altay,CN,47.8667,88.1167,37.35,37,100,3.6,overcast clouds
1,Chapais,CA,49.7834,-74.8492,60.58,88,96,11.54,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,49.66,37,0,8.05,clear sky
3,Taoudenni,ML,22.6783,-3.9836,83.82,12,92,10.98,overcast clouds
4,Bethlehem,BR,-1.4558,-48.5044,84.24,74,75,9.22,broken clouds
5,Manta,EC,-0.95,-80.7333,74.98,69,75,10.36,broken clouds
6,Urumqi,CN,43.801,87.6005,36.55,70,0,2.24,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,50.11,66,100,12.66,light rain
8,Aktau,KZ,43.65,51.2,50.58,67,100,12.17,overcast clouds
9,Padang,ID,-0.9492,100.3543,75.27,94,100,2.01,moderate rain
10,Avon Park,US,27.5959,-81.5062,84.7,55,0,2.17,clear sky
11,Rawson,AR,-43.3002,-65.1023,62.31,42,100,16.62,overcast clouds
12,Lucapa,AO,-8.4192,20.7447,66.42,93,94,2.3,overcast clouds
13,Saint George,US,37.1041,-113.5841,65.43,23,0,3.0,clear sky
14,Port Alfred,ZA,-33.5906,26.891,62.19,86,100,5.01,overcast clouds
15,Hamilton,US,39.1834,-84.5333,76.23,51,75,17.27,broken clouds
16,Jamestown,US,42.097,-79.2353,71.24,46,0,4.61,clear sky
17,Goias,BR,-15.5807,-49.6362,75.04,68,59,3.4,broken clouds
18,Gornopravdinsk,RU,60.05,69.9,27.3,96,32,4.27,scattered clouds
19,Tumba,SE,59.1986,17.8332,52.21,94,100,5.75,overcast clouds
20,Lebu,CL,-37.6167,-73.65,56.17,87,83,11.97,broken clouds
21,Cape Town,ZA,-33.9258,18.4232,63.12,78,0,17.27,clear sky
22,Sholokhovskiy,RU,48.2807,41.0459,47.52,79,99,5.91,overcast clouds
23,Pangnirtung,CA,66.1451,-65.7125,24.8,68,100,11.5,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,40,10.36,scattered clouds
25,Berlevag,NO,70.8578,29.0864,33.8,74,0,8.05,clear sky
26,Santiago De Cao,PE,-7.9589,-79.2392,62.73,77,100,12.66,fog
27,Caravelas,BR,-17.7125,-39.2481,72.45,91,38,5.97,scattered clouds
28,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,39,14.05,scattered clouds
29,Klaksvik,FO,62.2266,-6.589,49.12,92,100,11.83,overcast clouds
30,Georgetown,MY,5.4112,100.3354,78.73,94,20,2.3,few clouds
31,Cayenne,GF,4.9333,-52.3333,82.44,78,100,5.75,overcast clouds
32,Niamey,NE,13.5137,2.1098,91.69,21,13,4.61,few clouds
33,Gulbene,LV,57.1777,26.7529,49.15,98,100,4.9,overcast clouds
34,Busselton,AU,-33.65,115.3333,53.37,91,66,3.11,broken clouds
35,Bredasdorp,ZA,-34.5322,20.0403,60.96,72,100,8.12,overcast clouds
36,Mosquera,CO,4.7059,-74.2302,62.69,82,40,10.36,haze
37,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,4.18,snow
38,Margate,GB,51.3813,1.3862,61.9,86,100,5.01,overcast clouds
39,Torbay,CA,47.6666,-52.7314,56.5,84,20,4.61,few clouds
40,Warri,NG,5.5167,5.75,75.45,94,100,3.53,overcast clouds
41,Sisimiut,GL,66.9395,-53.6735,25.68,86,91,7.94,overcast clouds
42,Mar Del Plata,AR,-38.0023,-57.5575,70.09,86,0,11.01,light rain
43,Hermanus,ZA,-34.4187,19.2345,58.8,78,100,12.24,overcast clouds
44,Vardo,NO,70.3705,31.1107,30.18,86,100,9.22,overcast clouds
45,Huarmey,PE,-10.0681,-78.1522,65.59,74,53,10.51,broken clouds
46,Christiana,ZA,-27.914,25.1611,69.96,13,100,10.42,overcast clouds
47,Agdam,AZ,39.991,46.9274,51.87,89,4,0.92,clear sky
48,Pisco,PE,-13.7,-76.2167,66.25,68,0,20.71,clear sky
49,Jerusalem,IL,31.769,35.2163,71.8,59,0,5.99,clear sky
50,Namibe,AO,-15.1961,12.1522,68.79,85,35,6.85,scattered clouds
51,Qaanaaq,GL,77.484,-69.3632,22.3,96,100,3.62,light snow
52,Sibut,CF,5.718,19.0739,72.41,88,97,2.17,overcast clouds
53,Kindu,CD,-2.95,25.95,69.28,97,100,2.33,overcast clouds
54,Murfreesboro,US,35.8456,-86.3903,75.61,69,100,14.97,heavy intensity rain
55,Kotelnikovo,RU,47.6317,43.1461,46.9,68,64,5.37,broken clouds
56,Ballinasloe,IE,53.3275,-8.2194,57.33,95,100,17.13,overcast clouds
57,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,88,20,6.91,few clouds
