City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,La Rioja,42.25,-2.5,62.38,89,76,4.14,ES,2022-08-14 21:36:55
1,Hanzhong,33.0728,107.0303,76.05,87,100,1.7,CN,2022-08-14 21:36:55
2,Port Hardy,50.6996,-127.4199,62.78,94,75,11.5,CA,2022-08-14 21:36:55
3,Bengkulu,-3.8004,102.2655,76.57,89,100,3.11,ID,2022-08-14 21:34:47
4,Albany,42.6001,-73.9662,82.45,39,15,4.9,US,2022-08-14 21:33:53
5,Ushuaia,-54.8,-68.3,37.06,93,100,12.66,AR,2022-08-14 21:36:38
6,San Quintin,30.4833,-115.95,77.92,67,1,9.42,MX,2022-08-14 21:36:56
7,Vestmannaeyjar,63.4427,-20.2734,50.41,71,12,16.28,IS,2022-08-14 21:36:56
8,Rikitea,-23.1203,-134.9692,73.26,77,0,18.68,PF,2022-08-14 21:33:30
9,Hasaki,35.7333,140.8333,77.4,86,84,3.83,JP,2022-08-14 21:36:57
10,Vaini,-21.2,-175.2,68.16,94,75,10.36,TO,2022-08-14 21:36:57
11,Cape Town,-33.9258,18.4232,50.92,77,20,6.91,ZA,2022-08-14 21:35:02
12,Pisco,-13.7,-76.2167,66.02,82,0,10.36,PE,2022-08-14 21:36:58
13,Mayumba,-3.432,10.6554,69.33,91,47,5.14,GA,2022-08-14 21:36:58
14,Klaksvik,62.2266,-6.589,52.72,86,95,2.51,FO,2022-08-14 21:36:58
15,Ranong,9.9658,98.6348,78.96,86,63,5.68,TH,2022-08-14 21:36:59
16,Pevek,69.7008,170.3133,34.02,83,100,12.62,RU,2022-08-14 21:36:59
17,Cherskiy,68.75,161.3,43.38,70,15,7.2,RU,2022-08-14 21:36:59
18,New Norfolk,-42.7826,147.0587,49.71,85,94,2.82,AU,2022-08-14 21:37:00
19,Aykhal,66.0,111.5,46.71,81,100,6.91,RU,2022-08-14 21:37:00
20,Hobart,-42.8794,147.3294,50.05,95,75,8.05,AU,2022-08-14 21:37:00
21,Mataura,-46.1927,168.8643,42.22,81,94,2.98,NZ,2022-08-14 21:37:01
22,Bethel,41.3712,-73.414,84.02,46,0,6.91,US,2022-08-14 21:37:01
23,San Policarpo,12.1791,125.5072,77.7,87,100,8.12,PH,2022-08-14 21:37:01
24,Zeya,53.75,127.2667,59.76,94,16,1.25,RU,2022-08-14 21:37:02
25,Bambous Virieux,-20.3428,57.7575,70.21,78,75,17.27,MU,2022-08-14 21:37:02
26,Port Macquarie,-31.4333,152.9167,47.89,66,6,7.09,AU,2022-08-14 21:37:03
27,Manzhouli,49.6,117.4333,59.49,61,2,4.56,CN,2022-08-14 21:37:03
28,Labuhan,-6.8844,112.2051,76.75,88,33,7.31,ID,2022-08-14 21:37:03
29,Ancud,-41.8697,-73.8203,43.43,69,42,16.75,CL,2022-08-14 21:37:04
30,Carnarvon,-24.8667,113.6333,66.54,71,86,7.14,AU,2022-08-14 21:37:04
31,Sao Joao Da Barra,-21.6403,-41.0511,71.69,71,0,17.09,BR,2022-08-14 21:37:05
32,Esik,43.3552,77.4525,63.82,34,11,6.76,KZ,2022-08-14 21:37:05
